timestamp,E0,E1,E2,E3,nlat_x,nlat_y,fp_x,fp_y,hmm_x,hmm_y
2026-05-21T12:02:47.834632,nan,nan,-62.6,-48.4,0.0,8.0,4.844,6.174,5.0,4.5
2026-05-21T12:02:47.868682,nan,-55.6,-62.6,-48.4,0.18,7.645,1.9,5.918,0.5,7.5
2026-05-21T12:02:47.893988,nan,-55.6,-62.9,-48.4,0.332,7.343,1.9,5.918,0.5,7.5
2026-05-21T12:02:47.927305,nan,-55.6,-62.9,-48.9,0.47,7.065,1.9,5.918,0.5,7.5
2026-05-21T12:02:47.961537,nan,-55.2,-62.9,-48.9,0.6,6.821,1.9,5.918,0.5,7.5
2026-05-21T12:02:48.000561,nan,-55.2,-63.4,-48.9,0.71,6.613,1.9,5.918,0.5,7.5
2026-05-21T12:02:48.031806,nan,-55.2,-63.4,-50.5,0.835,6.361,1.9,5.918,0.5,7.5
2026-05-21T12:02:48.065200,nan,-58.2,-63.4,-50.5,0.806,6.193,1.9,5.918,0.5,7.5
2026-05-21T12:02:48.101524,nan,-58.2,-64.3,-50.5,0.775,6.048,1.9,5.918,0.5,7.5
2026-05-21T12:02:48.135124,nan,-58.2,-64.3,-55.9,0.74,5.611,1.9,5.918,0.5,4.5
2026-05-21T12:02:48.163202,nan,-58.2,-65.5,-55.9,0.696,5.232,1.9,5.918,0.5,4.5
2026-05-21T12:02:48.192979,nan,-58.2,-65.5,-53.7,0.675,5.058,1.9,5.918,0.5,4.5
2026-05-21T12:02:48.226981,-53.7,-58.2,-65.5,-53.7,0.63,4.86,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.265991,-53.7,-57.0,-65.5,-53.7,0.667,4.676,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.304364,-53.7,-57.0,-66.5,-53.7,0.697,4.52,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.339431,-53.7,-57.0,-66.5,-52.3,0.7,4.443,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.382203,-56.6,-57.0,-66.5,-52.3,0.76,4.453,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.436413,-56.6,-56.0,-66.5,-52.3,0.868,4.445,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.471862,-56.6,-56.0,-66.5,-52.3,0.96,4.439,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.507541,-56.6,-56.0,-66.5,-52.0,1.03,4.446,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.547547,-57.7,-56.0,-66.5,-52.0,1.111,4.474,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.590575,-57.7,-55.4,-66.5,-52.0,1.21,4.485,1.377,5.157,0.5,7.5
2026-05-21T12:02:48.627217,-57.7,-55.4,-66.4,-52.0,1.293,4.494,1.377,5.157,0.5,7.5
2026-05-21T12:02:48.673040,-57.7,-55.4,-66.4,-54.5,1.445,4.398,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.709753,-58.1,-55.4,-66.4,-54.5,1.583,4.324,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.753427,-58.1,-55.0,-66.4,-54.5,1.721,4.249,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.793208,-58.1,-55.0,-65.9,-54.5,1.837,4.185,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.837770,-58.1,-55.0,-65.9,-52.4,1.864,4.219,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.881331,-58.1,-55.7,-65.9,-52.4,1.853,4.265,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.925503,-58.1,-55.7,-65.0,-52.4,1.842,4.304,1.377,5.157,0.5,4.5
2026-05-21T12:02:48.984122,-58.1,-55.7,-65.0,-51.8,1.815,4.361,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.024460,-57.6,-55.7,-65.0,-51.8,1.784,4.401,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.071725,-57.6,-55.3,-65.0,-51.8,1.777,4.426,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.121882,-57.6,-55.3,-63.9,-51.8,1.772,4.448,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.170907,-57.6,-55.3,-63.9,-52.2,1.78,4.45,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.212416,-57.0,-55.3,-63.9,-52.2,1.776,4.441,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.261817,-57.0,-55.0,-63.9,-52.2,1.787,4.426,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.307267,-57.0,-55.0,-63.9,-52.2,1.797,4.413,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.354551,-57.0,-55.0,-63.9,-50.5,1.757,4.475,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.405014,-56.5,-55.0,-63.9,-50.5,1.715,4.518,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.450412,-56.5,-54.8,-63.9,-50.5,1.688,4.55,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.496683,-56.5,-54.8,-64.9,-50.5,1.665,4.577,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.542855,-56.5,-54.8,-64.9,-49.4,1.617,4.647,1.377,5.157,0.5,4.5
2026-05-21T12:02:49.586679,-55.9,-54.8,-64.9,-49.4,1.568,4.695,1.377,5.157,0.5,7.5
2026-05-21T12:02:49.639772,-55.9,-54.7,-64.9,-49.4,1.53,4.734,1.377,5.157,0.5,7.5
2026-05-21T12:02:49.686003,-55.9,-54.7,-65.8,-49.4,1.498,4.767,1.377,5.157,0.5,7.5
2026-05-21T12:02:49.720003,-55.9,-54.7,-65.8,-49.1,1.464,4.808,1.377,5.157,0.5,7.5
2026-05-21T12:02:49.758814,-57.7,-54.7,-65.8,-49.1,1.459,4.873,1.377,5.157,0.5,7.5
2026-05-21T12:02:49.799586,-57.7,-54.6,-65.8,-49.1,1.458,4.926,1.377,5.157,0.5,7.5
2026-05-21T12:02:49.835339,-57.7,-54.6,-67.2,-49.1,1.459,4.973,1.356,4.572,0.5,7.5
2026-05-21T12:02:49.887042,-57.7,-54.6,-67.2,-51.2,1.519,4.924,1.321,5.257,0.5,7.5
2026-05-21T12:02:50.076657,-57.7,-56.1,-67.2,-51.2,1.502,4.915,1.33,4.589,0.5,7.5
2026-05-21T12:02:50.210905,-57.7,-56.1,-67.7,-51.2,1.489,4.908,1.33,4.589,0.5,7.5
2026-05-21T12:02:50.354735,-57.7,-56.1,-67.7,-49.8,1.445,4.958,1.33,4.589,0.5,7.5
2026-05-21T12:02:50.578580,-57.7,-56.7,-67.7,-49.8,1.382,5.008,1.33,4.589,0.5,7.5
2026-05-21T12:02:50.709319,-57.7,-56.7,-67.2,-49.8,1.328,5.05,1.33,4.589,0.5,7.5
2026-05-21T12:02:50.853440,-57.7,-56.7,-67.2,-49.1,1.269,5.112,1.33,4.589,0.5,7.5
2026-05-21T12:02:51.082153,-57.7,-56.8,-67.2,-49.1,1.215,5.166,1.33,4.589,0.5,7.5
2026-05-21T12:02:51.208988,-57.7,-56.8,-66.7,-49.1,1.168,5.212,1.33,4.589,0.5,7.5
2026-05-21T12:02:51.351467,-57.7,-56.8,-66.7,-49.1,1.128,5.251,1.33,4.589,0.5,7.5
2026-05-21T12:02:51.584425,-57.7,-56.7,-66.7,-49.1,1.098,5.283,1.33,4.589,0.5,7.5
2026-05-21T12:02:51.708138,-57.7,-56.7,-66.6,-49.1,1.073,5.31,1.33,4.589,0.5,7.5
2026-05-21T12:02:51.850428,nan,-56.7,-66.6,-49.8,1.071,5.314,1.89,5.917,0.5,7.5
2026-05-21T12:02:52.088966,nan,-56.3,-66.6,-49.8,1.086,5.312,1.89,5.917,0.5,7.5
2026-05-21T12:02:52.205081,nan,-56.3,-66.8,-49.8,1.099,5.311,1.89,5.917,0.5,7.5
2026-05-21T12:02:52.354376,nan,-56.3,-66.8,-48.6,1.093,5.362,1.89,5.917,0.5,7.5
2026-05-21T12:02:52.590712,nan,-55.8,-66.8,-48.6,1.105,5.398,1.89,5.917,0.5,7.5
2026-05-21T12:02:52.704625,nan,-55.8,-67.4,-48.6,1.117,5.429,1.89,5.917,0.5,7.5
2026-05-21T12:02:52.851591,nan,-55.8,-67.4,-48.0,1.117,5.48,1.89,5.917,0.5,7.5
2026-05-21T12:02:53.093375,nan,-55.2,-67.4,-48.0,1.135,5.512,1.89,5.917,0.5,7.5
2026-05-21T12:02:53.203862,nan,-55.2,-68.4,-48.0,1.151,5.54,1.89,5.917,0.5,7.5
2026-05-21T12:02:53.350919,nan,-55.2,-68.4,-48.0,1.165,5.564,1.89,5.917,0.5,7.5
2026-05-21T12:02:53.592241,nan,-57.5,-68.4,-48.0,1.103,5.613,1.89,5.917,0.5,7.5
